context,nb_name,plotfile,hostname,epoch,basename,npixel,pb_npixel,flux_limit,global_pe,static_pe,dynamic_pe,snapshot,opposite,tsys,scale,static_pointing_error,dynamic_pointing_error,global_pointing_error,onsource_maxabs,onsource_rms,onsource_medianabs,onsource_abscentral
s3sky,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-05 00:21:19,simulation9,512,4096,0.03,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,1.0,[0. 0.],1.5360766403486005e-05,2.755993870043609e-06,1.846104617034709e-06,6.083009999474248e-06
s3sky,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-05 00:21:19,simulation9,512,4096,0.03,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,2.0,[0. 0.],3.071970256296999e-05,5.511876526395047e-06,3.6920630730864024e-06,1.2157540261010151e-05
s3sky,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-05 00:21:19,simulation9,512,4096,0.03,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,4.0,[0. 0.],6.1432046588183e-05,1.1023313693973476e-05,7.383845789893462e-06,2.428113658939631e-05
s3sky,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-05 00:21:19,simulation9,512,4096,0.03,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,8.0,[0. 0.],0.00012283435885408406,2.204491394161011e-05,1.4767093364129493e-05,4.8426298071141324e-05
s3sky,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-05 00:21:19,simulation9,512,4096,0.03,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,16.0,[0. 0.],0.0002471587999536472,4.4085532055054334e-05,2.954536052022941e-05,9.662434328683964e-05
s3sky,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-05 00:21:19,simulation9,512,4096,0.03,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,32.0,[0. 0.],0.00049756020031653,8.9383543917439e-05,5.9843827733930256e-05,0.00020900118335889014
s3sky,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-05 00:21:19,simulation9,512,4096,0.03,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,64.0,[0. 0.],0.000972506016654341,0.0001814226521455228,0.00012169979404108043,0.0003616170453730197
s3sky,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-05 00:21:19,simulation9,512,4096,0.03,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,128.0,[0. 0.],0.0018968717095509606,0.0003666251790242635,0.0002453243835929861,0.0006289343703576002
s3sky,pointing_simulation.py,./pointingsimulation_sheldon_0.jpg,sheldon,2019-06-05 00:21:19,simulation9,512,4096,0.03,[0. 0.],0.0,1.0,False,False,0.0,[1. 1.],0.0,256.0,[0. 0.],0.004973525530383041,0.0008964658599432864,0.0006013292410377514,0.0008159009873248145
